"Algorithm","n","k","Average Swaps","Average Compares","c/n","s/n"
"Quick Sort","200","100","1740.1300000000001091393642127513885498046875","1037.609999999999899955582804977893829345703125","8.700650000000001","5.18805"
"Quick Sort","300","1","2464","1550","8.213333333333333","5.166666666666667"
"Quick Sort","300","10","2862.8000000000001818989403545856475830078125","1699.09999999999990905052982270717620849609375","9.542666666666667","5.663666666666666"
"Quick Sort","300","100","2894.90000000000009094947017729282379150390625","1698.84999999999990905052982270717620849609375","9.649666666666667","5.662833333333333"
"Quick Sort","400","1","3386","2137","8.465","5.3425"
"Quick Sort","400","10","4022.5","2217.8000000000001818989403545856475830078125","10.05625","5.5445"
"Quick Sort","400","100","4110.52000000000043655745685100555419921875","2407.5500000000001818989403545856475830078125","10.2763","6.018875"
"Quick Sort","500","1","4611","2697","9.222","5.394"
"Quick Sort","500","10","5203.6999999999998181010596454143524169921875","3110.8000000000001818989403545856475830078125","10.407399999999999","6.2216000000000005"
"Quick Sort","500","100","5375.329999999999927240423858165740966796875","3125.86000000000012732925824820995330810546875","10.75066","6.251720000000001"
"Quick Sort","600","1","5534","3520","9.223333333333333","5.866666666666666"
"Quick Sort","600","10","6462.399999999999636202119290828704833984375","3696.5","10.770666666666665","6.160833333333334"
"Quick Sort","600","100","6583.1899999999995998223312199115753173828125","3734.98000000000001818989403545856475830078125","10.971983333333332","6.224966666666667"
"Quick Sort","700","1","7562","4914","10.802857142857142","7.02"
"Quick Sort","700","10","8246.399999999999636202119290828704833984375","4767.3000000000001818989403545856475830078125","11.780571428571427","6.810428571428572"
"Quick Sort","700","100","8001.9300000000002910383045673370361328125","4572.079999999999927240423858165740966796875","11.431328571428573","6.531542857142857"
"Quick Sort","800","1","7663","4604","9.57875","5.755"
"Quick Sort","800","10","8990.100000000000363797880709171295166015625","4967.8000000000001818989403545856475830078125","11.237625000000001","6.2097500000000005"
"Quick Sort","800","100","9315.690000000000509317032992839813232421875","5217.3100000000004001776687800884246826171875","11.644612500000001","6.521637500000001"
"Quick Sort","900","1","10039","6043","11.154444444444444","6.714444444444444"
"Quick Sort","900","10","10597.600000000000363797880709171295166015625","5943.100000000000363797880709171295166015625","11.775111111111112","6.6034444444444444"
"Quick Sort","900","100","10712.629999999999199644662439823150634765625","6209.850000000000363797880709171295166015625","11.902922222222221","6.8998333333333335"
"Quick Sort","1000","1","10159","5858","10.159","5.858"
"Quick Sort","1000","10","11938.79999999999927240423858165740966796875","6692.3000000000001818989403545856475830078125","11.938799999999999","6.6923"
"Quick Sort","1000","100","12185.280000000000654836185276508331298828125","7013.489999999999781721271574497222900390625","12.18528","7.01349"
"Dual Pivot Quick Sort","100","1","1106","237","11.06","2.37"
"Dual Pivot Quick Sort","100","10","1316.5","283.30000000000001136868377216160297393798828125","13.165","2.833"
"Dual Pivot Quick Sort","100","100","1347.950000000000045474735088646411895751953125","309.83999999999997498889570124447345733642578125","13.4795","3.0984"
"Dual Pivot Quick Sort","200","1","2809","603","14.045","3.015"
"Dual Pivot Quick Sort","200","10","3302.3000000000001818989403545856475830078125","698.1000000000000227373675443232059478759765625","16.5115","3.4905"
"Dual Pivot Quick Sort","200","100","3250.65999999999985448084771633148193359375","705.200000000000045474735088646411895751953125","16.2533","3.5260000000000002"
"Dual Pivot Quick Sort","300","1","4906","965","16.35333333333333","3.216666666666667"
"Dual Pivot Quick Sort","300","10","5259.899999999999636202119290828704833984375","1124.299999999999954525264911353588104248046875","17.532999999999998","3.7476666666666665"
"Dual Pivot Quick Sort","300","100","5488.9399999999995998223312199115753173828125","1161.0399999999999636202119290828704833984375","18.296466666666664","3.8701333333333334"
"Dual Pivot Quick Sort","400","1","6155","1426","15.3875","3.565"
"Dual Pivot Quick Sort","400","10","7753.600000000000363797880709171295166015625","1597.299999999999954525264911353588104248046875","19.384","3.9932499999999997"
"Dual Pivot Quick Sort","400","100","7766.6099999999996725819073617458343505859375","1624.279999999999972715158946812152862548828125","19.416525","4.0607"
"Dual Pivot Quick Sort","500","1","8691","1790","17.382","3.58"
"Dual Pivot Quick Sort","500","10","10222.899999999999636202119290828704833984375","2073.09999999999990905052982270717620849609375","20.4458","4.146199999999999"
"Dual Pivot Quick Sort","500","100","10026.030000000000654836185276508331298828125","2076.4600000000000363797880709171295166015625","20.05206","4.15292"
"Dual Pivot Quick Sort","600","1","11665","2140","19.441666666666666","3.566666666666667"
"Dual Pivot Quick Sort","600","10","12158.70000000000072759576141834259033203125","2438.8000000000001818989403545856475830078125","20.2645","4.064666666666667"
"Dual Pivot Quick Sort","600","100","12594.190000000000509317032992839813232421875","2558.1300000000001091393642127513885498046875","20.99031666666667","4.26355"
"Dual Pivot Quick Sort","700","1","14037","3224","20.052857142857142","4.605714285714286"
